Geneid	VM-1	VM-2	VM-3	VM-4
YPL270W	2236.3	1573.5	2348.11	2264.31
YPL248C	772.5	649.75	853.25	814
YPR058W	974.07	373.1	941.5	610.5
YPL004C	3208.33	2719.25	3275.5	3754
YPR110C	3197	1430	3566	2062
YPL042C	800.25	662.05	947	1006
YPR149W	3593	659	3702.25	977.75
YPL172C	617.17	250.17	620	345.25
YPR009W	457.46	396.46	580.17	542.5
YPL039W	434.62	280	568.64	446.07
YPR051W	230	161	282.11	227.04
YPR134W	136	50	156.33	86.8
YPR118W	2000.86	1222.56	2312.5	1777
YPR019W	2816.19	2097.02	3022.96	2813.53
YPL213W	354	250	482	357.18
YPR121W	1002.07	813.25	1080.27	1151.25
YPL054W	427.33	1039.5	445.5	1287.12
YPL123C	158.33	296.8	173	456.5
YPL144W	186	94	159	131
YPR036W-A	4170.87	7181.37	4343.9	8894.09
YPL140C	820.96	531.75	986.92	744.38
snR70	616.5	422	587	526.25
YPL202C	1223	1167.13	1562.75	1670
YPL114W	220	181	266	252
tI(AAU)P2	0	0	1	0.1
YPL045W	979.91	616.25	1101.98	903.53
YPL267W	166.88	110.65	254.75	187.27
YPL133C	340	168	363	253
tA(AGC)P	0	1	0	4
YPL263C	2681	1075.25	3178.57	1661.29
YPL097W	420.33	155	493.05	277.72
YPR130C	3.5	5	13.07	8.05
YPR177C	1.5	0	6	4.08
YPR124W	847	229.42	1011.5	294.71
YPR157W	1413.88	260.12	1379.12	356.5
YPR004C	2196.35	1496.5	2326	1994.25
YPR080W	138185.28	78628.79	150359.78	114178.24
YPL162C	589	251	551	362
YPL200W	2.11	0	3	1
YPR057W	161.31	63.5	158.16	120.58
YPR100W	56	18	86.33	30
YPR033C	3265.25	1819.75	3629.98	2671
YPR174C	426.82	348	440.5	540.6
YPR151C	131	168	120.53	240.61
YPR180W	802.11	475.06	989.25	782.08
YPL210C	2667.7	1488.5	3198.25	2111
tC(GCA)P1	3	1	1	1
YPL155C	335.5	315	364.5	410
YPL225W	1404	855	1745.33	1281
YPL081W	1579	1039.83	1536.94	1401.79
YPL266W	1917.15	785.45	2466.09	1174.05
YPR002W	189.12	255	194.48	385
YPL127C	170	372	180	498
YPR108W	2481.12	1468.5	2733.93	2242.04
YPR172W	1211.67	1248.5	1355.5	1749.5
tF(GAA)P2	1.67	0	2.17	0.33
YPR200C	45	32	59.14	36
YPL058C	7952.52	878	7936.06	1181.5
YPL073C	8.5	3.5	7.38	3
YPR197C	5.5	4	12	11
YPR088C	1926.25	1039	1982	1581.17
YPL254W	961.17	686.06	978.77	920.54
YPR010C-A	1639.62	981.5	1994.25	1410
YPL223C	49	55	24.25	81.29
YPR056W	657.4	359.06	844	579.19
YPR006C	665.6	329	868.14	509
YPR129W	2755.46	1648	3434.79	2412.96
YPR199C	541.2	389	681.5	608.83
YPL062W	3.5	2	3	0
YPR113W	1393	710	1525	942
YPL166W	143.33	267.88	167.22	375.5
YPR020W	562	317.5	669.5	476.1
YPL160W	17597.07	8005.38	18701.73	10880.38
YPL147W	154.03	287.08	185	385.33
YPL107W	319.54	279.75	378.33	421
YPL169C	2993.75	1887.5	3300.25	2615
YPR169W-A	529.04	385.66	623.16	509.16
YPR170W-A	849.79	651.05	963.41	847.16
YPR014C	3	1	2	5
YPR049C	1564.5	1254.83	1764.17	1938.17
YPL087W	570.73	372.5	562.5	508.5
YPR115W	5045.25	4290.82	5149	5756.58
YPL184C	2855.75	1140.5	2903.5	1478.75
YPR111W	613.33	549.35	654.12	820.37
YPR203W	114.33	93.06	116.4	122.75
YPR189W	3827.72	2186	4089.33	3127.05
YPR034W	989.87	721.17	999.46	1001.55
YPL189W	160	27.12	171	42.1
YPL246C	2114	1835	2135	2401
YPL020C	1418.5	1081.5	1595.5	1492.5
YPL255W	149	135.12	181	168.63
YPL196W	208.28	169.73	225.83	235.06
YPR135W	593.28	1082.06	672.41	1511.29
YPR044C	3	1	1	1
YPL061W	12628.58	14210.85	12879.83	18149.8
YPL238C	3	4	7	11
YPL052W	668.5	1015.75	828.42	1437.25
YPR112C	1480.25	442.09	1755.74	711.39
YPL186C	68	72.5	124.75	90.25
YPR148C	2381.12	2061.66	2777.21	2747.51
YPL276W	19	23.75	24.5	19.36
YPL280W	21.83	22.44	30.57	38.5
YPR143W	240.17	109	291.92	181
YPL261C	1	4.5	0	1
YPL034W	169	143	220	237.05
YPL116W	564.42	791.83	713.73	1113.19
YPL131W	23078.56	12800	23782.42	16487.83
YPR017C	162	112	190.17	168
YPL012W	7378	2509.83	8179.86	3697.28
YPL017C	92.17	76	90	85
YPL010W	1857.5	1306	2100	1830.3
YPR173C	1433.83	776.25	1531.01	1124.48
